abbr_my	abbr_iast	entry_my	work	list	list_es	list_no	note_en	note_es	pdf_page	status
အံ	aṁ	အင်္ဂုတ္တိုရ်ပါဠိတော်။ (က။ ၁၅၊ ၁၆၊ ၁၇) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။ ၃။ တတိယအုပ်။	Aṅguttara Nikāya	Pāḷi	Pāḷi	15, 16, 17	3 vols.	3 vols.	94	drafted
အံ၊ ဋီ	aṁ ṭī	အင်္ဂုတ္တိုရ်ဋီကာ။ (ဂ။ ၁၇၊ ၁၈၊ ၁၉) ၁။ ပဌမအုပ်။....၃။ တတိယအုပ်။	Aṅguttara Ṭīkā	Ṭīkā	Ṭīkā	17, 18, 19	3 vols.	3 vols.	94	drafted
အံ၊ ဋ္ဌ	aṁ ṭṭha	အင်္ဂုတ္တိုရ်အဋ္ဌကထာ။ (ခ။ ၁၅၊ ၁၆၊ ၁၇) ၁။ ပဌမအုပ်။....၃။ တတိယအုပ်။	Aṅguttara Aṭṭhakathā (Manorathapūraṇī)	Aṭṭhakathā	Aṭṭhakathā	15, 16, 17	3 vols.	3 vols.	94	drafted
အဋ္ဌသာ၊ ယော	aṭṭhasā yo	အဋ္ဌသာလိနီယောဇနာ။ (စ။ ၂)	Aṭṭhasālinī-yojanā	Ganthantara	Ganthantara	2			94	drafted
အဋ္ဌသာ၊ သျ	aṭṭhasā sya	အဋ္ဌသာလိနီ အဋ္ဌကထာ နိသျ။ (င။ ၁၉၊ ၂၀၊ ၂၁) ၁။ ပဌမအုပ်။....၃။ တတိယအုပ်။ ၁၉၃၉-ခုနှစ်၊ သုဓမ္မဝတီ။	Aṭṭhasālinī nissaya	Aṭṭhakathā nissaya	Nissaya de aṭṭhakathā	19, 20, 21	3 vols., 1939, Sudhammavatī press	3 vols., 1939, imprenta Sudhammavatī	94	drafted
အနုဋီ	anuṭī	အနုဋီကာ။ (ဂ။ ၂၀၊ ၂၁၊ ၂၂) ၁။ ဓမ္မသင်္ဂဏီ အနုဋီကာ။ ၂။ ဝိဘင်း အနုဋီကာ။ ၃။ ပဉ္စပကရဏ အနုဋီကာ။	Abhidhamma Anuṭīkā	Ṭīkā	Ṭīkā	20, 21, 22	1 Dhammasaṅgaṇī, 2 Vibhaṅga, 3 Pañcapakaraṇa	1 Dhammasaṅgaṇī, 2 Vibhaṅga, 3 Pañcapakaraṇa	94	drafted
အပ	apa	အပဒါန်ပါဠိတော်။ (က။ ၃၂၊ ၃၃) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Apadāna	Pāḷi	Pāḷi	32, 33	2 vols.	2 vols.	94	drafted
အပ၊ ဋ္ဌ	apa ṭṭha	အပဒါန် အဋ္ဌကထာ။ (ခ။ ၃၃၊ ၃၄) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Apadāna Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	33, 34	2 vols.	2 vols.	94	drafted
အဘိ၊ က	abhi ka	အဘိဓမ္မပိဋက၊ ကထာဝတ္ထုပါဠိတော်။ (က။ ၂၀)	Kathāvatthu	Pāḷi	Pāḷi	20			94	drafted
အဘိ၊ ဋ္ဌ	abhi ṭṭha	အဘိဓမ္မာ အဋ္ဌကထာ။ (ခ။ ၁၈၊ ၁၉၊ ၂၀) ၁။ အဋ္ဌသာလိနီ။ ၂။ သမ္မောဟဝိနောဒနီ။ ၃။ ပဉ္စပကရဏ အဋ္ဌကထာ။	Abhidhamma Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	18, 19, 20	1 Aṭṭhasālinī, 2 Sammohavinodanī, 3 Pañcapakaraṇa Aṭṭhakathā	1 Aṭṭhasālinī, 2 Sammohavinodanī, 3 Pañcapakaraṇa Aṭṭhakathā	94	drafted
အဘိ၊ ဓ	abhi dha	အဘိဓမ္မပိဋက၊ ဓမ္မသင်္ဂဏီ ပါဠိတော်။ (က။ ၁၈)	Dhammasaṅgaṇī	Pāḷi	Pāḷi	18			94	drafted
အဘိ၊ ပု	abhi pu	ပုဂ္ဂလပညတ် ပါဠိတော်။ (က။ ၂၀)	Puggalapaññatti	Pāḷi	Pāḷi	20			94	drafted
အဘိ၊ ဝိ	abhi vi	ဝိဘင်းပါဠိတော်။ (က။ ၁၉)	Vibhaṅga	Pāḷi	Pāḷi	19			94	drafted
အမရ	amara	အမရကောသ သက္ကတအဘိဓာန်။ (ဆ။ ၁၃) ကဏ္ဍ၊ ဝဂ်၊ ဂါထာ။	Amarakośa (Sanskrit dictionary)	Foreign works	Obras extranjeras	13	cited by kāṇḍa, varga, verse	citado por kāṇḍa, varga, estrofa	94	drafted
အမရ၊ သျ	amara sya	အမရကောသ နိသျ။ အဘယာရာမဆရာတော် လက်ရေးစာကူးစက် မူ။	Amarakośa nissaya				Abhayārāma Sayadaw's hand-copied duplicated text	texto copiado a mano y multicopiado del Sayadaw de Abhayārāma	94	drafted
ဣတိဝုတ်	itivut	ဣတိဝုတ် ပါဠိတော်။ (က။ ၃၀)	Itivuttaka	Pāḷi	Pāḷi	30			94	drafted
ဣတိဝုတ်၊ ဋ္ဌ	itivut ṭṭha	ဣတိဝုတ် အဋ္ဌကထာ။ (ခ။ ၂၅)	Itivuttaka Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	25			94	drafted
ဥဒါန	udāna	ဥဒါန်း ပါဠိတော်။ (က။ ၃၀)	Udāna	Pāḷi	Pāḷi	30			94	drafted
ဥဒါန၊ ဋ္ဌ	udāna ṭṭha	ဥဒါန်း အဋ္ဌကထာ။ (ခ။ ၂၄)	Udāna Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	24			94	drafted
ကင်္ခါ	kaṅkhā	ကင်္ခါဝိတရဏီ အဋ္ဌကထာ။ (ခ။ ၅၁)	Kaṅkhāvitaraṇī	Aṭṭhakathā	Aṭṭhakathā	51			94	drafted
ကင်္ခါ၊ ဋီ၊ သစ်	kaṅkhā ṭī sac	ကင်္ခါဝိတရဏီ ဋီကာသစ်။ (ဂ။ ၂၅)	Kaṅkhāvitaraṇī, new Ṭīkā	Ṭīkā	Ṭīkā	25			94	drafted
ကင်္ခါ၊ ဋီ၊ ဟောင်း	kaṅkhā ṭī hoṅḥ	ကင်္ခါဝိတရဏီ ဋီကာဟောင်း။ (ဂ။ ၂၅)	Kaṅkhāvitaraṇī, old Ṭīkā	Ṭīkā	Ṭīkā	25			95	drafted
ကင်္ခါ၊ ယော / ကင်္ခါ၊ မဟာဋီ	kaṅkhā yo / kaṅkhā mahāṭī	ကင်္ခါယောဇနာမဟာဋီကာ။ (စ။ ၁၂၊ ၁၅) ၁။ ပဌမအုပ်။....၄။ စတုတ္ထအုပ်။	Kaṅkhā-yojanā Mahāṭīkā	Ganthantara	Ganthantara	12, 15	4 vols.; two abbreviations for one work	4 vols.; dos abreviaturas para una obra	95	drafted
ကစ္စည်း	kaccaññḥ	ကစ္စည်းသဒ္ဒါကြီး။ (စ။ ၁၆) သုတ်နံပါတ်။	Kaccāyana grammar	Ganthantara	Ganthantara	16	cited by sutta number	citado por número de sutta	95	drafted
ခုဒ္ဒက	khuddaka	ခုဒ္ဒကပါဌ ပါဠိတော်။ (က။ ၃၀)	Khuddakapāṭha	Pāḷi	Pāḷi	30			95	drafted
ခုဒ္ဒက၊ ဋ္ဌ	khuddaka ṭṭha	ခုဒ္ဒကပါဌ အဋ္ဌကထာ။ (ခ။ ၂၁)	Khuddakapāṭha Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	21			95	drafted
