term	articles	proposal
akusala	73	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	70	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	53	keep in Pāḷi (drafts); IEBH to fix a rendering
adhiṭṭhāna	53	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	49	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	45	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	45	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	41	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	41	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	40	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	38	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	38	keep in Pāḷi (drafts); IEBH to fix a rendering
kusala	33	keep in Pāḷi (drafts); IEBH to fix a rendering
adhikaraṇa	32	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	29	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	29	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	28	keep in Pāḷi (drafts); IEBH to fix a rendering
ariya	26	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	24	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	24	keep in Pāḷi (drafts); IEBH to fix a rendering
anicca	24	keep in Pāḷi (drafts); IEBH to fix a rendering
santāna	23	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	22	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	22	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	22	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattamagga	22	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭa	22	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpatti	20	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsana	20	keep in Pāḷi (drafts); IEBH to fix a rendering
moha	19	keep in Pāḷi (drafts); IEBH to fix a rendering
kathina	19	keep in Pāḷi (drafts); IEBH to fix a rendering
āsava	18	keep in Pāḷi (drafts); IEBH to fix a rendering
vinaya	18	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	17	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	17	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	17	keep in Pāḷi (drafts); IEBH to fix a rendering
adhimokkha	17	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgha	15	keep in Pāḷi (drafts); IEBH to fix a rendering
aṭṭhuppatti	15	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	15	keep in Pāḷi (drafts); IEBH to fix a rendering
titthiya	14	keep in Pāḷi (drafts); IEBH to fix a rendering
atta	14	keep in Pāḷi (drafts); IEBH to fix a rendering
anatta	14	keep in Pāḷi (drafts); IEBH to fix a rendering
sacca	13	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
animitta	13	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭhi	12	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	12	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmaguṇa	11	keep in Pāḷi (drafts); IEBH to fix a rendering
nāga	11	keep in Pāḷi (drafts); IEBH to fix a rendering
nimitta	11	keep in Pāḷi (drafts); IEBH to fix a rendering
avijjā	11	keep in Pāḷi (drafts); IEBH to fix a rendering
yojana	11	keep in Pāḷi (drafts); IEBH to fix a rendering
atiritta	10	keep in Pāḷi (drafts); IEBH to fix a rendering
brahmā	10	keep in Pāḷi (drafts); IEBH to fix a rendering
lokuttara	10	keep in Pāḷi (drafts); IEBH to fix a rendering
samādhi	10	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁsāra	10	keep in Pāḷi (drafts); IEBH to fix a rendering
paccekabuddha	10	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvanā	10	keep in Pāḷi (drafts); IEBH to fix a rendering
