id	iast	burmese	es	en	flag
27066	ā	'အာ'အက္ခရာ၊ 'အာ'သရ၊ လေးဆယ့်တစ်လုံးသော အက္ခရာ,ရှစ်လုံးသော သရတို့တွင် နှစ်လုံးမြောက်-လည်ချောင်းအရပ်၌ ဖြစ်သော (ကဏ္ဌဇ)-ရှည်သော အသံဖြင့် ရွတ်ဆိုအပ်သော (ဒီဃ)-နိဂဟိတ်မှတစ်ပါး သုံးဆယ့်နှစ်လုံးသော ဗျည်းတို့၏မှီရာ (နိဿယ) နှစ်လုံးသော ဗျည်းတို့၏မှီရာ (နိဿယ)-အက္ခရာ-သရ။	la letra *ā*; la vocal *ā*; entre las 41 letras y las 8 vocales, la segunda / que se produce en la región de la garganta (*kaṇṭhaja*) / que se recita con sonido largo (*dīgha*) / soporte (*nissaya*) de las 32 consonantes, excepto el *niggahīta*, soporte (*nissaya*) de las 2 consonantes / letra / vocal.	the letter *ā*; the vowel *ā*; among the 41 letters and the 8 vowels, the second / produced in the region of the throat (*kaṇṭhaja*) / recited with a long sound (*dīgha*) / the support (*nissaya*) of the 32 consonants other than the *niggahīta*, the support (*nissaya*) of the 2 consonants / letter / vowel.	the phrase 'support (nissaya) of the 2 consonants' repeats the preceding clause and looks garbled; the hyphen chain is long and its grouping uncertain
27067	ā	လိင်,ဓာတ်တို့နောင်-စီရင်အပ်သော-သက်သော-ပစ္စည်းဖြစ်သော အာ။ ၎င်းအာ-ပစ္စည်းသည် (၁) ဣတ္ထိလိင်အဖြစ် ထင်ရှားစေရန် သက်သော (ဣတ္ထိဇောတက) အာပစ္စည်း။ (၂) သမာသ်ပုဒ် အဆုံး၌သက်သော (သမာသန္တ) အာပစ္စည်း။ (၃) ကတ (=ပြုလုပ်အပ်သော အရာဟူသော) အနက်၌ သက်သော တဒ္ဓိတ် အာပစ္စည်း။ (၄) သု-ဓာတ်နောင် (ကတ္တား အနက်၌¿) သက်သော အာပစ္စည်းဟူ၍ ၄-မျိုးရှိသည်။ ဥဒါဟရုဏ် ပုံစံတို့ကား။	*ā* que es un sufijo dispuesto / añadido tras temas nominales y raíces. Este sufijo *ā*: (1) el sufijo *ā* añadido para hacer manifiesto el género femenino (*itthijotaka*). (2) el sufijo *ā* añadido al final de un compuesto (*samāsanta*). (3) el sufijo *taddhita* *ā* añadido en el sentido de *kata* (= lo que ha sido hecho). (4) el sufijo *ā* añadido tras la raíz *su* (¿en el sentido de agente?); así, es de 4 clases. Los ejemplos son:	*ā* that is a suffix arranged / added after nominal stems and roots. This suffix *ā*: (1) the suffix *ā* added to make the feminine gender manifest (*itthijotaka*). (2) the suffix *ā* added at the end of a compound (*samāsanta*). (3) the *taddhita* suffix *ā* added in the sense of *kata* (= what has been made). (4) the suffix *ā* added after the root *su* (in the sense of agent?); thus it is of 4 kinds. The examples are:	the source itself marks '(in the sense of agent)' with ¿ as doubtful; the article ends 'the examples are:' with no examples (truncated)
27069	ā	သဒ္ဒါအစီအရင်ဖြင့် အခြားသော အက္ခရာတို့မှ ပြောင်းလဲလာသော အာသရ၊ (၁) (က) သန္ဓိစပ်ရာ၌ အသရမှ ပြောင်းလဲလာသော အာသရ။ «S1» (ခ) ဏ-အနုဗန် ပါရှိသော ပစ္စည်းကြောင့် အသရမှ ပြောင်းလဲလာသော အာသရ။ (ဂ) သင်္ချာအရာ၌ အသရမှ ပြောင်းလဲလာသော အာသရ။ (၂) (က) ဏ-အနုဗန်ရှိသော ပစ္စည်းကြောင့် ဣသရ-မှ ပြောင်းလဲလာသော အာသရ။ (ခ) သင်္ချာအရာ၌ ဣသရမှ ပြောင်းလဲလာသော အာသရ။ (ဂ) ဓာတ်၏စိတ် ဣသရမှ ပြောင်းလဲလာသော အာသရ။ (၃) (က) ဏ-အနုဗန်ရှိသော ပစ္စည်းကြောင့် ဥသရမှ ပြောင်းလဲလာသော အာသရ။ (ခ) ဒွန်သမာသ်အရာ၌ မာတု-စသည်တို့၏ ဥသရမှ ပြောင်းလဲလာသော အာသရ။ (၄) ဩသရမှ ပြောင်းလဲလာသော အာသရ။ (၅) နံ-ဝိဘတ်ကြောင့် တသဗ္ဗနာမ်ပုဒ်မှ ပြောင်းလဲလာသော အာသရ။ (၆) ဥန-သဒ္ဒါမှ ပြောင်းလဲလာသော အာသရ။ «S2» ဤသို့ စသည်ဖြင့် သဒ္ဒါအစီအရင်ဖြင့် ပြောင်းလဲလာသော အာသရတို့မှာ များစွာပင် ရှိပေသည်။ (၇) လာသော (အာဂုံ) အာသရ။	la vocal *ā* que resulta del cambio de otras letras por las reglas de la gramática; (1) (a) la vocal *ā* que resulta del cambio de la vocal *a* donde se une en *sandhi*. Véase [[aṁ]]. (b) la vocal *ā* que resulta del cambio de la vocal *a* a causa de un sufijo que lleva el indicador (*anubandha*) *ṇa*. (c) la vocal *ā* que resulta del cambio de la vocal *a* en materia de numerales. (2) (a) la vocal *ā* que resulta del cambio de la vocal *i* a causa de un sufijo que tiene el indicador (*anubandha*) *ṇa*. (b) la vocal *ā* que resulta del cambio de la vocal *i* en materia de numerales. (c) la vocal *ā* que resulta del cambio de la vocal *i* de una parte de la raíz. (3) (a) la vocal *ā* que resulta del cambio de la vocal *u* a causa de un sufijo que tiene el indicador (*anubandha*) *ṇa*. (b) la vocal *ā* que resulta del cambio de la vocal *u* de *mātu* y demás, en materia de compuestos *dvanda*. (4) la vocal *ā* que resulta del cambio de la vocal *o*. (5) la vocal *ā* que resulta del cambio de la palabra pronominal (*sabbanāma*) *ta* a causa de la desinencia *naṁ*. (6) la vocal *ā* que resulta del cambio de la palabra *una*. Véase [[ā]] (4). Así, las vocales *ā* que resultan de un cambio por las reglas de la gramática son muchas. (7) la vocal *ā* que viene (*āgama*).	the vowel *ā* that results from the change of other letters by the rules of grammar; (1) (a) the vowel *ā* that results from the change of the vowel *a* where it joins in *sandhi*. See [[aṁ]]. (b) the vowel *ā* that results from the change of the vowel *a* because of a suffix bearing the marker (*anubandha*) *ṇa*. (c) the vowel *ā* that results from the change of the vowel *a* in the matter of numerals. (2) (a) the vowel *ā* that results from the change of the vowel *i* because of a suffix having the marker (*anubandha*) *ṇa*. (b) the vowel *ā* that results from the change of the vowel *i* in the matter of numerals. (c) the vowel *ā* that results from the change of the vowel *i* of a part of the root. (3) (a) the vowel *ā* that results from the change of the vowel *u* because of a suffix having the marker (*anubandha*) *ṇa*. (b) the vowel *ā* that results from the change of the vowel *u* of *mātu* and so on, in the matter of *dvanda* compounds. (4) the vowel *ā* that results from the change of the vowel *o*. (5) the vowel *ā* that results from the change of the pronominal (*sabbanāma*) word *ta* because of the ending *naṁ*. (6) the vowel *ā* that results from the change of the word *una*. See [[ā]] (4). Thus the vowels *ā* that result from change by the rules of grammar are many. (7) the vowel *ā* that comes in (*āgama*).	(2)(c) ဓာတ်၏စိတ် read as 'a part of the root'; uncertain
27101	ākaḍḍhitaṭṭhāna	ဆွဲငင်အပ်သောအရပ်။	el lugar arrastrado.	the place drawn.	literal; probably 'the place where (something) was dragged'
27120	ākati	အခြင်းအရာ၊ ဇာတ်။	modo; especie.	manner; kind.	ဇာတ် read as jāti 'kind, class', not jātaka
27136	ākāra	အာ ဧဝ အာကာရော။	*ā eva ākāro*.	*ā eva ākāro*.	the whole definition is a Pāḷi phrase (grammatical derivation), nothing to translate
27158	ākāravantu	(က) အကြောင်းရှိသော။ (ခ) လွန်ကဲသော အကြောင်းရှိသော။ (ဂ) ချီးမွမ်းအပ်သော အကြောင်းရှိသော။ (ဃ) အကြောင်းခြင်းရာ ရှိသော။	(a) que tiene causa. (b) que tiene una causa excesiva. (c) que tiene una causa alabada. (d) que tiene razones y modos.	(a) having a cause. (b) having an excessive cause. (c) having a praised cause. (d) having reasons and modes.	(b) လွန်ကဲ rendered 'excessive' per stems L018; here it likely means 'surpassing, superior'
27174	ākārābhihita	ဝါကုကိ ဝေဘန်ခြင်းတို့၌ ဟော ဆိုအပ်သော။ အာကာရာဘိဟိတံ နိဗ္ဗစနံ နိရုတ္တိ။ နေတ္တိ၊ဋ္ဌ။ ၃၂။ အာကာရေသု ဝါကျဝိဘာဂေသု အဘိဟိတံ ကထိတံ နိဗ္ဗစနံ အာကာရာဘိဟိတံ နိဗ္ဗစနံ။ နေတ္တိ၊ ဋီ။ ၁၃၅။	expuesto / dicho en los análisis de frases. *ākārābhihitaṁ nibbacanaṁ nirutti*. *ākāresu vākyavibhāgesu abhihitaṁ kathitaṁ nibbacanaṁ ākārābhihitaṁ nibbacanaṁ*.	expounded / said in the analyses of sentences. *ākārābhihitaṁ nibbacanaṁ nirutti*. *ākāresu vākyavibhāgesu abhihitaṁ kathitaṁ nibbacanaṁ ākārābhihitaṁ nibbacanaṁ*.	ဝါကုကိ is garbled, read as ဝါကျ 'sentence' (supported by ဝါကျဝိဘာဂေသု in the quotation); citations dropped
27207	ākāsaṭṭhadevatā	ကောင်းကင်၌ တည်သောနတ်၊ အာကာသစိုးနတ်။	deidad asentada en el cielo; deidad señora del espacio.	deity standing in the sky; deity ruling space.	label ကြိ (verb) looks wrong for a deity noun
27227	ākāsapaduma	ကောင်းကင်၌ရောက်သော ပဒုမာ¿။	*padumā* que ha llegado al cielo.	*padumā* that has reached the sky.	the source marks ပဒုမာ with ¿ (doubtful); it may be the lotus paduma or a flower name
