term	articles	proposal
āpatti	129	keep in Pāḷi (drafts); IEBH to fix a rendering
āmisa	90	keep in Pāḷi (drafts); IEBH to fix a rendering
indriya	78	keep in Pāḷi (drafts); IEBH to fix a rendering
utu	62	keep in Pāḷi (drafts); IEBH to fix a rendering
ārāma	55	keep in Pāḷi (drafts); IEBH to fix a rendering
āsava	52	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	50	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatana	50	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	49	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	46	keep in Pāḷi (drafts); IEBH to fix a rendering
āvajjana	45	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	43	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	43	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	41	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	40	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	38	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	35	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	31	keep in Pāḷi (drafts); IEBH to fix a rendering
iriyāpatha	26	keep in Pāḷi (drafts); IEBH to fix a rendering
chanda	25	keep in Pāḷi (drafts); IEBH to fix a rendering
āpodhātu	25	keep in Pāḷi (drafts); IEBH to fix a rendering
issā	23	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaṭṭhāna	23	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	23	keep in Pāḷi (drafts); IEBH to fix a rendering
uccheda	23	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmaguṇa	22	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	22	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	21	keep in Pāḷi (drafts); IEBH to fix a rendering
ājānīya	21	keep in Pāḷi (drafts); IEBH to fix a rendering
paññatti	20	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	20	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	19	keep in Pāḷi (drafts); IEBH to fix a rendering
ānantariyakamma	19	keep in Pāḷi (drafts); IEBH to fix a rendering
dhutaṅga	18	keep in Pāḷi (drafts); IEBH to fix a rendering
āhāra	18	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	17	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	17	keep in Pāḷi (drafts); IEBH to fix a rendering
pāḷi	17	keep in Pāḷi (drafts); IEBH to fix a rendering
ākāsānañcāyatana	17	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	16	keep in Pāḷi (drafts); IEBH to fix a rendering
āgama	16	keep in Pāḷi (drafts); IEBH to fix a rendering
ākiñcaññāyatanajhāna	16	keep in Pāḷi (drafts); IEBH to fix a rendering
ākāsānañcāyatanajhāna	16	keep in Pāḷi (drafts); IEBH to fix a rendering
akusala	15	keep in Pāḷi (drafts); IEBH to fix a rendering
kasiṇa	15	keep in Pāḷi (drafts); IEBH to fix a rendering
kusala	15	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	15	keep in Pāḷi (drafts); IEBH to fix a rendering
cetasika	14	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhā	14	keep in Pāḷi (drafts); IEBH to fix a rendering
ākiñcaññāyatana	14	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattamagga	13	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsana	13	keep in Pāḷi (drafts); IEBH to fix a rendering
ālokasaññā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
ānisaṁsa	13	keep in Pāḷi (drafts); IEBH to fix a rendering
cuti	12	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
samādhi	12	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	12	keep in Pāḷi (drafts); IEBH to fix a rendering
ājīva	12	keep in Pāḷi (drafts); IEBH to fix a rendering
manodvārāvajjana	11	keep in Pāḷi (drafts); IEBH to fix a rendering
āghāta	11	keep in Pāḷi (drafts); IEBH to fix a rendering
ānāpānassati	11	keep in Pāḷi (drafts); IEBH to fix a rendering
ārammaṇapaccaya	11	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpajjhāna	10	keep in Pāḷi (drafts); IEBH to fix a rendering
brahmā	10	keep in Pāḷi (drafts); IEBH to fix a rendering
paccekabuddha	10	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpārammaṇa	10	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyamagga	9	keep in Pāḷi (drafts); IEBH to fix a rendering
avijjā	9	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkha	9	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	9	keep in Pāḷi (drafts); IEBH to fix a rendering
paribbājaka	9	keep in Pāḷi (drafts); IEBH to fix a rendering
ukkhepanīyakamma	9	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇa	9	keep in Pāḷi (drafts); IEBH to fix a rendering
āgantu	9	keep in Pāḷi (drafts); IEBH to fix a rendering
āsavakkhayañāṇa	9	keep in Pāḷi (drafts); IEBH to fix a rendering
āvāsika	9	keep in Pāḷi (drafts); IEBH to fix a rendering
apāya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	8	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpasamāpatti	8	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvanā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
jīvitindriya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
lobha	8	keep in Pāḷi (drafts); IEBH to fix a rendering
nikāya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
