id	iast	burmese	es	en	flag
34590	uda	(၁) အပိသဒ္ဒါ၏ အနက်၊ မေးခြင်း။ (၂) အထူးကြံခြင်း။ (ထိုသို့မဟုတ်၊ ထိုမှတစ်ပါး)၊ (၃) ပုဒ်စပ်ခြင်း။ ပုဒ်ကို ပြည့်စေခြင်း၊ ပုဒ်ဖြည့်ခြင်း။	(1) significado de la palabra *api*; el preguntar. (2) el considerar de modo especial. (No así; aparte de eso); (3) la unión de palabras. El completar la palabra; el rellenar la palabra.	(1) meaning of the word *api*; asking. (2) considering specially. (Not so; other than that); (3) joining of words. Making the word complete; filling out the word.	(2) အထူးကြံခြင်း literal 'special consideration' (grammatical option?); (3) ပုဒ် taken as 'word' (could be verse-line); sense (3) = expletive particle
34598	udakaübbāhanaka	ရေကို ထုတ်ဆာင်သော၊ ရေငင်သော။ «S1»	que saca fuera el agua; que extrae agua. Véase [[udakaübbāhanakatulā]].	that carries out water; that draws water. See [[udakaübbāhanakatulā]].	ထုတ်ဆာင် read as ထုတ်ဆောင် (carry out)
34606	udakakaṭāha	ရေဖျဉ်းအိုး။ («S1»)	caldero de agua. (Véase también [[kaṭāha]].)	water cauldron. (See also [[kaṭāha]].)	ရေဖျဉ်းအိုး: ဖျဉ်း unclear (heating?); rendered generically as 'water cauldron'
34613	udakakāka	ရေကျီးကန်း၊ တင်ကျီး (ဒင်ကြီး)။	cuervo de agua; cormorán.	water crow; cormorant.	(ဒင်ကြီး) is a variant Burmese name of တင်ကျီး, not rendered separately
34623	udakakumbhasata	ရေအိုးတရား၊ ရေအိုးအရာ။	cien cántaros de agua; centenares de cántaros de agua.	a hundred water pots; hundreds of water pots.	တရား read as တရာ 'a hundred' (sata)
34683	udakadassana	ရေကို မြင်ရာခင်း။	el ver el agua.	seeing water.	မြင်ရာခင်း read as မြင်ခြင်း (garbled); could be မြင်ရာ 'where water is seen'
34690	udakadāyī	ရေကို-ယူတတ်-ယူလေ့ ရှိ-သော၊ ရေ-သင်-ယို-သော (လှေစသည်)။	que suele tomar / tiene la costumbre de tomar agua; en que entra / por donde se filtra el agua (una barca y demás).	apt to take / in the habit of taking water; into which water enters / leaks (a boat, and so on).	ရေ-သင်-ယို read as ရေ-ဝင်-ယို (water enters / leaks)
34702	udakadhārānipātanirantara	ရေအလျဉ် ကျခြင်း၏ အကြားအလပ် မရှိသော၊ အဆက်မပြတ် ရေအလျဉ်ကျခြင်း ရှိသော၊ အဆက်မပြတ် ရေအလျဉ်ကျခြင်း ရှိသော။	sin intervalo en la caída de la corriente de agua; que tiene una caída ininterrumpida de corriente de agua; que tiene una caída ininterrumpida de corriente de agua.	without interval in the falling of the stream of water; having an unbroken fall of a stream of water; having an unbroken fall of a stream of water.	last gloss is repeated verbatim in the source
34711	udakadhovanakaraṇavatthu	ရေဆေးခြင်းကို ပြုခြင်းဟူသော ဝတ္ထု။	relato que es el hacer el lavado con agua.	story which is the performing of washing with water.	ဝတ္ထု here may be 'case/object' rather than 'story'
34724	udakanimitta	ရေဟူသော အမှတ်အသား၊ ရေနိမိတ်။ မူရင်းကြည့်ပါ။	la señal que es el agua; el *nimitta* del agua. Véase el original.	the sign which is water; the water *nimitta*. See the original.	source has editorial note မူရင်းကြည့်ပါ 'please see the original'
