term	articles	proposal
paṭisandhi	52	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhacca	48	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	45	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	45	keep in Pāḷi (drafts); IEBH to fix a rendering
upadhi	45	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	41	keep in Pāḷi (drafts); IEBH to fix a rendering
upādāna	40	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhā	37	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	35	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	34	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	32	keep in Pāḷi (drafts); IEBH to fix a rendering
uposatha	32	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	31	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	30	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārajjhāna	28	keep in Pāḷi (drafts); IEBH to fix a rendering
kusala	27	keep in Pāḷi (drafts); IEBH to fix a rendering
upacāra	26	keep in Pāḷi (drafts); IEBH to fix a rendering
upāsaka	24	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	22	keep in Pāḷi (drafts); IEBH to fix a rendering
uppāda	21	keep in Pāḷi (drafts); IEBH to fix a rendering
pīti	20	keep in Pāḷi (drafts); IEBH to fix a rendering
sati	19	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	19	keep in Pāḷi (drafts); IEBH to fix a rendering
upameyya	19	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnaka	19	keep in Pāḷi (drafts); IEBH to fix a rendering
mātikā	18	keep in Pāḷi (drafts); IEBH to fix a rendering
udāna	18	keep in Pāḷi (drafts); IEBH to fix a rendering
upanissayapaccaya	18	keep in Pāḷi (drafts); IEBH to fix a rendering
upādārūpa	18	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	17	keep in Pāḷi (drafts); IEBH to fix a rendering
uposathasīla	16	keep in Pāḷi (drafts); IEBH to fix a rendering
nimitta	15	keep in Pāḷi (drafts); IEBH to fix a rendering
samādhi	15	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	15	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhāvedanā	15	keep in Pāḷi (drafts); IEBH to fix a rendering
upamāna	14	keep in Pāḷi (drafts); IEBH to fix a rendering
uposathakamma	14	keep in Pāḷi (drafts); IEBH to fix a rendering
akusala	13	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaja	13	keep in Pāḷi (drafts); IEBH to fix a rendering
pātimokkha	13	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	13	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
uddesa	13	keep in Pāḷi (drafts); IEBH to fix a rendering
upajjhāya	13	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	12	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinna	12	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	12	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	11	keep in Pāḷi (drafts); IEBH to fix a rendering
nāma	11	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgha	11	keep in Pāḷi (drafts); IEBH to fix a rendering
tatramajjhattupekkhā	11	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārasamādhi	11	keep in Pāḷi (drafts); IEBH to fix a rendering
upādānakkhandha	11	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	11	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaṭṭhāna	10	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārasīmā	10	keep in Pāḷi (drafts); IEBH to fix a rendering
upanissaya	10	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭhi	9	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
sukhavedanā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
sīmā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
